,R1,R2,R3,R4,R5
V1016,1,2,6,19,20
V1017,1,2,6,19,21
V1018,1,2,6,19,22
V1019,1,2,6,19,23
V1020,1,2,6,19,24
V1021,1,2,6,19,25
V1022,1,2,6,19,26
V1023,1,2,6,19,27
V1024,1,2,6,19,28
V1025,1,2,6,20,21
V1026,1,2,6,20,22
V1027,1,2,6,20,23
V1028,1,2,6,20,24
V1029,1,2,6,20,25
V1030,1,2,6,20,26
V1031,1,2,6,20,27
V1032,1,2,6,20,28
V1033,1,2,6,21,22
V1034,1,2,6,21,23
V1035,1,2,6,21,24
V1036,1,2,6,21,25
V1037,1,2,6,21,26
V1038,1,2,6,21,27
V1039,1,2,6,21,28
V1040,1,2,6,22,23
V1041,1,2,6,22,24
V1042,1,2,6,22,25
V1043,1,2,6,22,26
V1044,1,2,6,22,27
V1045,1,2,6,22,28
V1046,1,2,6,23,24
V1047,1,2,6,23,25
V1048,1,2,6,23,26
V1049,1,2,6,23,27
V1050,1,2,6,23,28
V1051,1,2,6,24,25
V1052,1,2,6,24,26
V1053,1,2,6,24,27
V1054,1,2,6,24,28
V1055,1,2,6,25,26
V1056,1,2,6,25,27
V1057,1,2,6,25,28
V1058,1,2,6,26,27
V1059,1,2,6,26,28
V1060,1,2,6,27,28
V1061,1,2,7,8,9
V1062,1,2,7,8,10
V1063,1,2,7,8,11
V1064,1,2,7,8,12
V1065,1,2,7,8,13
